,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
622,6.0,4.0,4.0,4.0,11.0,11.0,1.0,3.0,10.0,8.0,1.0,3.0,11.0,16.0,2.0,4.0,3.0,3.0,47.0,53.0,2.0,2.0,0.0,0.0,2.0,3.0,357.0,400.0,262.0,287.0,73.0,72.0
623,4.0,3.0,5.0,6.0,14.0,9.0,5.0,0.0,10.0,7.0,4.0,2.0,10.0,10.0,8.0,3.0,1.0,2.0,41.0,59.0,3.0,1.0,1.0,0.0,0.0,2.0,358.0,530.0,250.0,420.0,70.0,79.0
624,1.0,4.0,3.0,5.0,6.0,11.0,2.0,2.0,3.0,9.0,3.0,2.0,13.0,9.0,1.0,6.0,1.0,1.0,32.0,68.0,3.0,1.0,0.0,0.0,2.0,1.0,285.0,607.0,180.0,500.0,63.0,82.0
625,2.0,3.0,3.0,5.0,7.0,8.0,2.0,0.0,1.0,5.0,6.0,3.0,14.0,7.0,3.0,4.0,3.0,3.0,42.0,58.0,3.0,0.0,0.0,0.0,1.0,2.0,393.0,549.0,266.0,407.0,68.0,74.0
626,4.0,7.0,5.0,7.0,13.0,20.0,4.0,6.0,8.0,13.0,5.0,8.0,10.0,13.0,5.0,5.0,4.0,0.0,43.0,57.0,2.0,2.0,0.0,0.0,6.0,2.0,405.0,525.0,289.0,425.0,71.0,81.0
627,6.0,3.0,5.0,6.0,17.0,12.0,6.0,3.0,10.0,7.0,7.0,5.0,5.0,14.0,10.0,8.0,4.0,2.0,54.0,46.0,0.0,1.0,0.0,0.0,3.0,3.0,487.0,403.0,367.0,297.0,75.0,74.0
628,4.0,5.0,1.0,4.0,6.0,13.0,1.0,4.0,5.0,5.0,1.0,8.0,17.0,7.0,3.0,6.0,4.0,4.0,29.0,71.0,2.0,2.0,0.0,0.0,4.0,0.0,270.0,672.0,183.0,593.0,68.0,88.0
629,2.0,8.0,2.0,6.0,8.0,17.0,4.0,3.0,5.0,9.0,3.0,8.0,10.0,15.0,8.0,7.0,1.0,1.0,44.0,56.0,0.0,1.0,0.0,0.0,7.0,2.0,371.0,476.0,272.0,379.0,73.0,80.0
630,7.0,5.0,5.0,7.0,14.0,15.0,2.0,3.0,9.0,9.0,5.0,7.0,21.0,12.0,5.0,5.0,1.0,3.0,47.0,53.0,1.0,0.0,0.0,0.0,5.0,5.0,422.0,485.0,329.0,383.0,78.0,79.0
631,10.0,8.0,2.0,8.0,15.0,18.0,3.0,2.0,12.0,8.0,3.0,10.0,14.0,4.0,4.0,8.0,4.0,0.0,45.0,55.0,3.0,1.0,0.0,0.0,5.0,4.0,477.0,555.0,391.0,477.0,82.0,86.0
632,3.0,3.0,4.0,3.0,9.0,7.0,2.0,1.0,6.0,5.0,3.0,2.0,14.0,9.0,5.0,2.0,0.0,2.0,45.0,55.0,2.0,0.0,0.0,0.0,3.0,3.0,470.0,562.0,344.0,455.0,73.0,81.0
633,8.0,1.0,9.0,3.0,20.0,10.0,3.0,6.0,16.0,8.0,4.0,2.0,10.0,16.0,10.0,6.0,1.0,0.0,63.0,37.0,0.0,2.0,0.0,0.0,1.0,6.0,512.0,285.0,427.0,182.0,83.0,64.0
634,7.0,4.0,5.0,1.0,20.0,8.0,8.0,3.0,11.0,4.0,9.0,4.0,9.0,14.0,7.0,2.0,2.0,4.0,51.0,49.0,1.0,2.0,0.0,0.0,2.0,4.0,462.0,440.0,367.0,328.0,79.0,75.0
635,5.0,2.0,6.0,1.0,16.0,5.0,5.0,2.0,8.0,1.0,8.0,4.0,8.0,12.0,4.0,6.0,0.0,0.0,62.0,38.0,1.0,2.0,0.0,0.0,2.0,2.0,605.0,352.0,489.0,248.0,81.0,70.0
636,8.0,0.0,4.0,4.0,14.0,6.0,2.0,2.0,12.0,4.0,2.0,2.0,9.0,7.0,5.0,8.0,4.0,0.0,51.0,49.0,2.0,0.0,0.0,1.0,0.0,4.0,469.0,425.0,377.0,316.0,80.0,74.0
637,6.0,4.0,1.0,3.0,10.0,9.0,3.0,2.0,6.0,5.0,4.0,4.0,17.0,10.0,2.0,3.0,1.0,1.0,51.0,49.0,1.0,3.0,0.0,0.0,3.0,2.0,472.0,429.0,368.0,312.0,78.0,73.0
638,3.0,4.0,8.0,2.0,18.0,11.0,7.0,5.0,10.0,6.0,8.0,5.0,10.0,18.0,6.0,5.0,3.0,3.0,61.0,39.0,1.0,4.0,0.0,1.0,3.0,2.0,576.0,370.0,494.0,283.0,86.0,76.0
639,7.0,4.0,1.0,1.0,12.0,6.0,4.0,1.0,7.0,4.0,5.0,2.0,8.0,15.0,4.0,6.0,0.0,0.0,60.0,40.0,2.0,2.0,0.0,0.0,2.0,3.0,594.0,382.0,479.0,279.0,81.0,73.0
640,7.0,6.0,9.0,4.0,29.0,13.0,13.0,3.0,17.0,7.0,13.0,6.0,15.0,14.0,6.0,7.0,3.0,0.0,63.0,37.0,2.0,0.0,0.0,0.0,3.0,5.0,529.0,301.0,446.0,197.0,84.0,65.0
641,3.0,0.0,5.0,3.0,15.0,4.0,7.0,1.0,8.0,1.0,7.0,3.0,9.0,15.0,8.0,4.0,1.0,2.0,40.0,60.0,2.0,3.0,0.0,0.0,0.0,3.0,346.0,524.0,257.0,430.0,74.0,82.0
