,fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
118,654114,2021-01-05T22:20:00+00:00,Godoy Cruz,Estudiantes L.P.,439,450,1,0,1,0
119,654082,2021-01-06T00:30:00+00:00,Atletico Tucuman,Colon Santa Fe,455,448,0,0,0,2
120,654115,2021-01-09T20:10:00+00:00,Union Santa Fe,Patronato,441,444,1,2,1,2
121,654116,2021-01-09T20:10:00+00:00,Lanus,Rosario Central,446,437,2,0,2,0
122,654118,2021-01-09T22:20:00+00:00,Velez Sarsfield,Godoy Cruz,438,439,2,1,3,2
123,654120,2021-01-09T22:20:00+00:00,Racing Club,Newells Old Boys,436,457,2,1,3,1
124,654085,2021-01-10T00:30:00+00:00,River Plate,Independiente,435,453,0,2,0,2
125,654087,2021-01-10T00:30:00+00:00,Argentinos JRS,Boca Juniors,458,451,1,1,2,2
126,654086,2021-01-10T22:20:00+00:00,Arsenal Sarandi,Huracan,459,445,1,0,1,0
127,654088,2021-01-11T00:30:00+00:00,Colon Santa Fe,Talleres Cordoba,448,456,0,1,1,2
128,654089,2021-01-11T00:30:00+00:00,Banfield,San Lorenzo,449,460,1,0,4,1
129,654090,2021-01-11T00:30:00+00:00,Gimnasia L.P.,Atletico Tucuman,434,455,0,0,0,1
130,654119,2021-01-12T00:30:00+00:00,Estudiantes L.P.,Central Cordoba de Santiago,450,1065,1,0,1,2
131,654117,2021-01-14T20:45:00+00:00,Defensa Y Justicia,Aldosivi,442,463,3,2,4,4
132,656995,2021-01-18T01:10:00+00:00,Banfield,Boca Juniors,449,451,,,,
